,Susceptible,Exposed,Infected,Recovered,Incidence (E)
0,1837098,0,100,0,100
1,1837098,0,96,4,0
2,1836619,448,123,8,479
3,1836364,628,192,14,255
4,1835912,938,319,29,452
5,1835212,1418,521,47,700
6,1834494,1831,797,76,718
7,1832970,2900,1201,127,1524
8,1830513,4676,1823,186,2457
9,1826206,7874,2830,288,4307
10,1820350,11960,4452,436,5856
11,1810745,18799,6998,656,9605
12,1795880,29298,11000,1020,14865
13,1774331,44171,17106,1590,21549
14,1744400,64222,26058,2518,29931
15,1704662,89414,39232,3890,39738
16,1652979,121286,56926,6007,51683
17,1590619,157007,80254,9318,62360
18,1520663,193226,109533,13776,69956
19,1446803,225749,144399,20247,73860
20,1372968,251428,183909,28893,73835
21,1303554,267123,225826,40695,69414
22,1239439,274566,267263,55930,64115
23,1180450,275051,306296,75401,58989
24,1127146,269198,342108,98746,53304
25,1077404,261224,372155,126415,49742
26,1030487,251593,396846,158272,46917
27,985707,242464,415251,193776,44780
28,942116,233161,429365,232556,43591
29,896676,227768,438787,273967,45440
30,851194,224114,444518,317372,45482
31,808157,218474,448374,362193,43037
32,768170,210802,450268,407958,39987
33,730951,201908,449616,454723,37219
34,696098,192055,447356,501689,34853
35,664416,181340,443119,548323,31682
36,634343,171177,436571,595107,30073
37,607177,160252,428250,641519,27166
38,581019,150665,417847,687667,26158
39,554727,143414,406405,732652,26292
40,527657,138517,394024,777000,27070
41,500659,134510,381962,820067,26998
42,473348,131964,369527,862359,27311
43,446801,129355,358334,902708,26547
44,421828,125995,347266,942109,24973
45,398759,121147,337105,980187,23069
46,377812,115205,327118,1017063,20947
47,359785,108017,316590,1052806,18027
48,345112,98714,305797,1087575,14673
49,333568,88739,293589,1121302,11544
50,324818,78074,280611,1153695,8750
51,317906,67606,266186,1185500,6912
52,312144,58235,250989,1215830,5762
53,307033,49927,235256,1244982,5111
54,301453,44018,219141,1272586,5580
55,295800,39768,202908,1298722,5653
56,289762,36681,187167,1323588,6038
57,283373,34519,172956,1346350,6389
58,276808,33142,159648,1367600,6565
59,270118,32140,147658,1387282,6690
60,263332,31565,136554,1405747,6786
61,256324,31480,126805,1422589,7008
62,248507,31995,118495,1438201,7817
63,239820,33360,111433,1452585,8687
64,229769,35998,105354,1466077,10051
65,218929,38841,100862,1478566,10840
66,207217,42044,97678,1490259,11712
67,192915,47012,95747,1501524,14302
68,177197,52293,95469,1512239,15718
69,160128,57715,96904,1522451,17069
70,143199,61991,99396,1532612,16929
71,126605,65295,102482,1542816,16594
72,111455,66407,106226,1553110,15150
73,97505,66169,109842,1563682,13950
74,85589,63725,113394,1574490,11916
75,75095,60411,115951,1585741,10494
76,65057,57450,117382,1597309,10038
77,55597,54429,117996,1609176,9460
78,47420,50666,117966,1621146,8177
79,39894,47152,116578,1633574,7526
80,33271,43362,114389,1646176,6623
81,27724,39479,111492,1658503,5547
82,22991,35477,107960,1670770,4733
83,19212,31491,103740,1682755,3779
84,16279,27358,99236,1694325,2933
85,13998,23426,94180,1705594,2281
86,12178,19843,88730,1716447,1820
87,10657,16875,82808,1726858,1521
88,9643,14063,76757,1736735,1014
89,8855,11526,70854,1745963,788
90,8258,9438,65032,1754470,597
